FL_DATE,AIRLINE,ORIGIN,DEST,CRS_DEP_TIME,NUM_PREVIOUS_FLIGHTS_LATE,AVG_GATE_WAIT_TIME,DELAYED
2024-03-16,American,PHX,BWI,1817,8,5.0856957177536,1
2024-03-17,Southwest,SEA,CLT,667,2,45.87877707286295,0
2024-03-18,Southwest,SFO,BOS,2047,3,19.09170577095397,0
2024-03-19,Spirit,DEN,MSP,656,2,13.195846842339872,0
2024-03-20,Southwest,LAX,FLL,1850,5,42.21778515402433,1
2024-03-21,Spirit,ORD,IAH,620,0,21.742912253084523,0
2024-03-22,Southwest,DFW,CLT,2192,8,49.90284001833705,1
2024-03-23,Alaska,DEN,LAS,2131,1,46.082022523559985,0
2024-03-24,Frontier,PHX,CLT,2110,1,41.03758456528635,0
2024-03-25,Spirit,PHX,BWI,1304,3,43.5942243785822,0
2024-03-26,United,SFO,IAH,738,0,14.705282040298368,0
2024-03-27,JetBlue,DFW,EWR,1346,2,25.578017972708224,0
2024-03-28,Delta,SEA,DTW,717,9,41.07551328723439,1
2024-03-29,Southwest,ORD,LAS,1077,5,8.155486819445358,1
2024-03-30,American,ATL,EWR,1713,0,51.95700811772203,1
2024-03-31,Frontier,MIA,SLC,2320,4,34.100660077902226,0
2024-04-01,Southwest,MIA,MSP,2231,4,46.626759464073636,0
2024-04-02,American,ORD,DTW,2133,3,13.804303485165956,0
2024-04-03,JetBlue,ATL,EWR,1384,1,59.48310912012262,1
2024-04-04,JetBlue,ORD,BWI,1009,3,2.739172229896236,0
2024-04-05,JetBlue,LAX,EWR,1266,1,17.33095968055173,0
2024-04-06,American,DFW,IAH,2109,9,0.9441000758542062,1
2024-04-07,Southwest,MIA,BWI,1877,2,13.382343768987928,0
2024-04-08,JetBlue,ATL,DTW,2019,0,13.117704576308737,0
2024-04-09,Alaska,SEA,MSP,715,2,56.497426909748945,1
2024-04-10,Spirit,SFO,SLC,977,0,36.03092263783837,0
2024-04-11,American,DEN,CLT,2024,7,4.677873333757523,1
2024-04-12,American,MIA,SLC,1959,0,13.25853051183987,0
2024-04-13,Southwest,PHX,BOS,2034,0,22.343084933538865,0
2024-04-14,American,JFK,MSP,2045,9,2.123448513894477,1
2024-04-15,American,ORD,IAH,1814,6,36.1428230524417,1
2024-04-16,JetBlue,SEA,DTW,1251,1,58.4558726682263,1
2024-04-17,Southwest,ORD,BWI,2098,3,23.13075958173186,0
2024-04-18,JetBlue,JFK,IAH,574,0,2.4245767272544527,0
2024-04-19,Spirit,LAX,CLT,1962,5,18.818242237594724,1
2024-04-20,Frontier,SFO,LAS,2180,2,9.449912043147597,0
2024-04-21,Spirit,MIA,BWI,1824,2,17.262731685413968,0
2024-04-22,Frontier,PHX,FLL,564,8,19.07635618883639,1
2024-04-23,JetBlue,ORD,SLC,811,6,14.12058016461386,1
2024-04-24,Spirit,ATL,MSP,983,8,43.928958549035464,1
2024-04-25,Southwest,ORD,FLL,1721,8,44.504988286806544,1
2024-04-26,Delta,ATL,SLC,1063,8,10.314809269818001,1
2024-04-27,JetBlue,SFO,MSP,560,6,2.0339504858912894,1
2024-04-28,Frontier,DEN,LAS,2152,3,24.804448641413046,0
2024-04-29,Alaska,MIA,BWI,2001,4,46.59279677754302,0
2024-04-30,Frontier,DEN,LAS,1712,5,29.678177774620785,1
2024-05-01,Alaska,DEN,BOS,1302,9,43.91479505707727,1
2024-05-02,American,MIA,BOS,2048,9,40.54478395061521,1
2024-05-03,Spirit,MIA,IAH,2214,7,18.362072547853675,1
2024-05-04,Alaska,SFO,SLC,1546,1,55.144049314942166,1
2024-05-05,Frontier,PHX,EWR,1088,6,46.0884700695505,1
2024-05-06,American,ORD,DTW,533,4,32.49381669685515,0
2024-05-07,Delta,SFO,IAH,1118,4,3.5834896606578592,0
2024-05-08,Southwest,JFK,CLT,1859,6,6.2721533564893095,1
2024-05-09,Southwest,DFW,SLC,744,0,10.670414790362134,0
2024-05-10,Southwest,LAX,DTW,947,0,54.53492636651323,1
2024-05-11,Alaska,MIA,SLC,1534,8,46.18107315918947,1
2024-05-12,Delta,ORD,LAS,1870,3,46.822259099776666,0
2024-05-13,Alaska,PHX,IAH,1360,9,6.3068963897938035,1
2024-05-14,Spirit,SEA,MSP,1076,7,18.16055668042225,1
2024-05-15,Alaska,PHX,FLL,649,9,58.178561548183126,1
2024-05-16,Delta,LAX,BOS,1520,7,58.92713584286058,1
2024-05-17,Delta,JFK,BWI,1564,8,32.59030154764689,1
2024-05-18,Spirit,SEA,BOS,2188,7,56.43346491621806,1
2024-05-19,Delta,DEN,IAH,1274,0,42.4013528107292,0
2024-05-20,Frontier,DEN,IAH,1864,3,55.66896713128363,1
2024-05-21,Delta,MIA,BWI,1395,4,33.15298850246071,0
2024-05-22,Southwest,DEN,IAH,1165,8,8.156664620061706,1
2024-05-23,Frontier,ATL,IAH,837,3,50.575237990184604,1
2024-05-24,Frontier,ORD,LAS,1620,7,50.42907299077747,1
2024-05-25,Spirit,ATL,MSP,1062,9,4.378582379949709,1
2024-05-26,United,MIA,FLL,1547,3,26.64231116566437,0
2024-05-27,United,SFO,DTW,2045,5,49.425421905313655,1
2024-05-28,Delta,LAX,BOS,512,5,33.82235797889214,1
2024-05-29,Frontier,SEA,CLT,2002,7,16.48537323414448,1
2024-05-30,United,SEA,SLC,1541,6,27.593997603429496,1
2024-05-31,United,DEN,FLL,1662,2,49.60906224920445,0
2024-06-01,Delta,ORD,BOS,1197,0,6.005729232819268,0
2024-06-02,United,DFW,DTW,2032,8,38.34067006525788,1
2024-06-03,Alaska,PHX,EWR,520,7,54.875020321033254,1
2024-06-04,American,SEA,CLT,1308,7,34.647728088129156,1
2024-06-05,Spirit,LAX,MSP,815,5,31.700363688142723,1
2024-06-06,American,LAX,EWR,1997,1,59.33833055928887,1
2024-06-07,Delta,ATL,BWI,1057,1,18.994365301570937,0
2024-06-08,Southwest,ATL,MSP,2091,7,47.26014648453231,1
2024-06-09,Spirit,MIA,IAH,2043,5,1.299301988340844,1
2024-06-10,Delta,JFK,SLC,900,0,23.372525049645784,0
2024-06-11,Frontier,DFW,MSP,1431,0,5.359669957705496,0
2024-06-12,Southwest,DEN,CLT,871,3,17.69809304202043,0
2024-06-13,American,LAX,BWI,1609,6,42.3151566900124,1
2024-06-14,Delta,SEA,BOS,1852,9,16.255168596581225,1
2024-06-15,Frontier,PHX,BWI,992,7,0.11542371471090496,1
2024-06-16,Spirit,PHX,BWI,1016,9,36.887122102556226,1
2024-06-17,Spirit,ATL,FLL,1963,3,7.822462394346463,0
2024-06-18,JetBlue,ATL,SLC,1394,5,37.114181885714345,1
2024-06-19,Frontier,SFO,FLL,2177,5,1.5861620431826107,1
2024-06-20,Alaska,DFW,FLL,544,0,53.51425030273729,1
2024-06-21,United,MIA,MSP,1214,9,3.2403027366720805,1
2024-06-22,Southwest,DEN,EWR,1318,3,53.490883391618624,1
2024-06-23,Frontier,ORD,LAS,2221,2,57.62992902180451,1
2024-06-24,JetBlue,LAX,IAH,2258,5,27.935687993626903,1
2024-06-25,United,ORD,FLL,2106,2,24.13690044851744,0
2024-06-26,United,SFO,MSP,1946,6,33.54531717660324,1
2024-06-27,Delta,DEN,SLC,1118,2,2.5323428387457536,0
2024-06-28,United,PHX,DTW,1708,8,58.01596121283484,1
2024-06-29,Alaska,SEA,FLL,863,3,13.676932357989966,0
2024-06-30,Spirit,SFO,FLL,784,4,39.342202478540315,0
2024-07-01,JetBlue,MIA,CLT,702,7,23.477235293019845,1
2024-07-02,United,DEN,EWR,872,8,51.435618408050885,1
2024-07-03,Delta,ATL,BOS,985,1,42.163322972951306,0
2024-07-04,Alaska,PHX,CLT,2048,2,57.79584149108911,1
2024-07-05,American,ORD,IAH,926,8,40.185134558973296,1
2024-07-06,Spirit,DEN,MSP,1228,6,14.737743043369342,1
2024-07-07,Spirit,SFO,BOS,1380,1,6.667837977098257,0
2024-07-08,JetBlue,MIA,BOS,1061,9,59.37154906845767,1
2024-07-09,Spirit,JFK,IAH,683,4,40.93186612455321,0
2024-07-10,United,LAX,MSP,1585,3,19.239897391595594,0
2024-07-11,Delta,DEN,IAH,1623,0,49.272996723142874,0
2024-07-12,Spirit,SEA,LAS,2218,9,39.98477956842741,1
2024-07-13,Spirit,JFK,EWR,2319,7,29.058249007701157,1
2024-07-14,American,DEN,SLC,695,0,39.969795253497026,0
2024-07-15,American,JFK,BWI,1436,8,38.93589659882432,1
2024-07-16,Southwest,SFO,IAH,1991,3,57.53310200232813,1
2024-07-17,Alaska,SEA,BWI,1535,3,44.79539502947213,0
2024-07-18,United,DFW,FLL,865,0,42.527131863030384,0
2024-07-19,Spirit,JFK,CLT,832,2,41.553107141038545,0
2024-07-20,Frontier,LAX,DTW,845,2,1.686191625245952,0
2024-07-21,Spirit,MIA,BOS,1561,7,4.0651226828609826,1
2024-07-22,Delta,LAX,DTW,2344,6,20.233232347029546,1
2024-07-23,Southwest,SEA,BWI,1034,5,9.441242425334034,1
2024-07-24,Alaska,DEN,EWR,2333,5,44.42593630254441,1
2024-07-25,Frontier,SEA,BWI,1891,7,9.139709186561076,1
2024-07-26,Southwest,ORD,CLT,617,3,50.80673446958472,1
2024-07-27,JetBlue,DFW,CLT,1334,3,54.64964186350345,1
2024-07-28,Alaska,MIA,CLT,2302,3,6.051543501311363,0
2024-07-29,Spirit,PHX,DTW,1873,4,58.40641353839252,1
2024-07-30,Spirit,PHX,MSP,637,5,5.518225602602871,1
2024-07-31,Alaska,SFO,SLC,2112,2,42.797431533183584,0
2024-08-01,Spirit,ORD,BWI,829,5,58.2151561986411,1
2024-08-02,United,ATL,EWR,1682,4,4.945932440652998,0
2024-08-03,Alaska,PHX,IAH,1695,9,59.75027827852391,1
2024-08-04,Southwest,ATL,SLC,920,5,43.8515915133711,1
2024-08-05,Alaska,LAX,EWR,1932,5,40.37639087862937,1
2024-08-06,Frontier,MIA,IAH,976,0,19.440079383133078,0
2024-08-07,Spirit,ATL,IAH,520,9,22.507525470972347,1
2024-08-08,United,ATL,MSP,642,1,21.603757688822622,0
2024-08-09,United,SFO,LAS,733,9,50.335690672361466,1
2024-08-10,JetBlue,DFW,FLL,1898,1,31.106356762333693,0
2024-08-11,Southwest,DFW,BOS,1406,9,54.99756177237748,1
2024-08-12,American,DEN,SLC,981,4,30.770259038493982,0
2024-08-13,American,ATL,BOS,1508,2,6.8834876961715485,0
2024-08-14,Alaska,DEN,BOS,2110,0,22.550277000862803,0
2024-08-15,JetBlue,JFK,MSP,2336,4,30.7691096777804,0
2024-08-16,Delta,DEN,BOS,1787,5,43.35213596841343,1
2024-08-17,Alaska,JFK,IAH,1109,1,38.5188694004316,0
2024-08-18,JetBlue,MIA,EWR,1116,7,46.59121637111577,1
2024-08-19,Southwest,DFW,IAH,1677,9,13.337876363317797,1
2024-08-20,Southwest,MIA,LAS,2056,4,58.41525049029643,1
2024-08-21,Southwest,DEN,SLC,807,2,37.203471974212924,0
2024-08-22,Southwest,PHX,DTW,1573,1,41.914726526974654,0
2024-08-23,Southwest,ATL,FLL,1291,5,2.7918088700813204,1
2024-08-24,JetBlue,DEN,MSP,867,0,46.25946905129039,0
2024-08-25,JetBlue,ORD,MSP,1747,7,13.198046455411909,1
2024-08-26,United,PHX,LAS,837,4,41.74340439814665,0
2024-08-27,Frontier,DEN,CLT,1549,0,35.51150077155695,0
2024-08-28,American,JFK,SLC,1308,8,33.62940393685254,1
2024-08-29,Spirit,SEA,FLL,1062,6,59.71097248823934,1
2024-08-30,Southwest,PHX,BOS,1155,0,36.22950084758296,0
2024-08-31,Delta,SEA,LAS,2332,6,30.314794835963358,1
2024-09-01,Spirit,JFK,BOS,551,2,46.46916590478139,0
2024-09-02,JetBlue,JFK,MSP,1964,1,36.87313426377047,0
2024-09-03,Delta,ORD,EWR,876,5,7.937412119979175,1
2024-09-04,Delta,DEN,IAH,1368,9,52.95382111396932,1
2024-09-05,Delta,MIA,FLL,1991,2,35.88081468970918,0
2024-09-06,United,DFW,DTW,1318,8,26.06125352634993,1
2024-09-07,JetBlue,DEN,LAS,1326,2,20.646961271439707,0
2024-09-08,Delta,ATL,BWI,1261,8,23.74581739900673,1
2024-09-09,Southwest,ATL,BWI,962,3,34.16150316524795,0
2024-09-10,Alaska,ORD,EWR,1257,9,39.25287043700036,1
2024-09-11,Delta,SEA,SLC,795,9,47.3134843177676,1
2024-09-12,United,SEA,FLL,643,3,49.82401635123341,0
2024-09-13,Spirit,PHX,SLC,1471,9,43.225114175173154,1
2024-09-14,JetBlue,MIA,BOS,662,9,42.403997511593175,1
2024-09-15,Frontier,MIA,DTW,1805,1,13.483623770831175,0
2024-09-16,United,DFW,BWI,828,8,54.50361696192144,1
2024-09-17,Delta,ATL,DTW,963,4,4.510273029989007,0
2024-09-18,JetBlue,MIA,IAH,1710,0,49.25814872257712,0
2024-09-19,Alaska,LAX,LAS,1513,8,51.7493460600197,1
2024-09-20,Delta,DEN,FLL,2114,8,47.37292689397944,1
2024-09-21,United,MIA,MSP,2119,8,38.28465588975641,1
2024-09-22,American,LAX,BOS,886,1,50.06244841009194,1
2024-09-23,Southwest,PHX,FLL,1144,5,40.62655890738392,1
2024-09-24,Frontier,LAX,BOS,1947,3,52.84075277016904,1
2024-09-25,Spirit,DFW,LAS,1194,0,22.91433881781725,0
2024-09-26,United,MIA,BOS,576,7,55.094222724430104,1
2024-09-27,JetBlue,DEN,FLL,931,6,14.967443442050737,1
2024-09-28,Frontier,ATL,IAH,734,9,45.93748049195468,1
2024-09-29,Frontier,SFO,BWI,1488,7,2.06052383617904,1
2024-09-30,Frontier,PHX,EWR,2273,7,45.75522836119296,1
2024-10-01,Delta,LAX,DTW,1978,2,15.464350180467806,0
2024-10-02,Southwest,DFW,DTW,1448,6,59.82006396556269,1
2024-10-03,Delta,ATL,SLC,1979,9,33.158139313468766,1
2024-10-04,JetBlue,SFO,BOS,2283,8,34.92851791326899,1
2024-10-05,Delta,DEN,FLL,910,1,12.516756129806874,0
2024-10-06,American,LAX,SLC,828,2,8.886264235112938,0
2024-10-07,Southwest,MIA,IAH,1875,3,13.925024842679312,0
2024-10-08,Southwest,MIA,IAH,1760,5,32.016416566694375,1
2024-10-09,JetBlue,SFO,IAH,1175,8,9.20709854757783,1
2024-10-10,Spirit,SEA,BWI,535,8,21.309602917921705,1
2024-10-11,American,ORD,CLT,1241,8,27.7538543828124,1
2024-10-12,United,JFK,LAS,1247,5,53.612357986237114,1
2024-10-13,Delta,ATL,MSP,538,5,5.822308586160396,1
2024-10-14,Alaska,ORD,EWR,1982,9,24.490625081064575,1
2024-10-15,Delta,LAX,SLC,2348,7,37.06679067430574,1
2024-10-16,Frontier,DFW,BOS,663,4,34.15451700400117,0
2024-10-17,Delta,MIA,LAS,1637,0,45.15164303547137,0
2024-10-18,United,PHX,FLL,2042,0,23.762246181335712,0
2024-10-19,Delta,MIA,FLL,2138,9,0.904549097934948,1
2024-10-20,American,SFO,IAH,648,9,27.719820247206933,1
2024-10-21,American,LAX,CLT,1282,8,8.73192156981196,1
2024-10-22,Southwest,PHX,FLL,2337,4,17.768091175564894,0
2024-10-23,JetBlue,DFW,SLC,587,1,1.3691302818011164,0
2024-10-24,Spirit,DFW,BWI,1442,9,43.158208886679034,1
2024-10-25,Alaska,PHX,LAS,1710,8,7.7923085922804365,1
2024-10-26,Frontier,JFK,SLC,1180,4,54.6938293897758,1
2024-10-27,Delta,LAX,FLL,1833,6,52.892571247101245,1
2024-10-28,Delta,DEN,IAH,2058,2,15.62789877153536,0
2024-10-29,United,SFO,BWI,2303,2,43.7743036693731,0
2024-10-30,JetBlue,ATL,CLT,1659,5,37.238716187943304,1
2024-10-31,American,DFW,CLT,805,0,28.206188718139927,0
2024-11-01,Alaska,LAX,MSP,738,5,31.62504752232856,1
2024-11-02,Southwest,SEA,FLL,1813,4,9.372353206807196,0
2024-11-03,American,LAX,BOS,839,1,58.91862611821344,1
2024-11-04,Frontier,SEA,DTW,1374,7,50.0704903657606,1
2024-11-05,JetBlue,MIA,EWR,851,7,39.83422019654469,1
2024-11-06,Frontier,MIA,FLL,1920,8,57.55862745079358,1
2024-11-07,Spirit,DEN,MSP,2010,2,58.94143473648013,1
2024-11-08,Southwest,ORD,BWI,519,9,16.069350830682275,1
2024-11-09,Spirit,ATL,IAH,1915,8,37.42561280485106,1
2024-11-10,United,DEN,FLL,1110,9,21.80977283225636,1
2024-11-11,Frontier,SFO,SLC,724,8,54.970427409521285,1
2024-11-12,United,MIA,SLC,2188,1,17.40105659453885,0
2024-11-13,Delta,SFO,CLT,2139,1,44.88235260165514,0
2024-11-14,Spirit,DEN,CLT,942,4,56.58494386880941,1
2024-11-15,JetBlue,ATL,EWR,2342,5,49.12487494420835,1
2024-11-16,Frontier,SEA,CLT,680,0,18.473060970507227,0
2024-11-17,Alaska,DEN,EWR,643,0,8.29199393628347,0
2024-11-18,Southwest,MIA,BWI,1369,5,2.1241473946874745,1
2024-11-19,American,ATL,CLT,2268,5,19.34182298319676,1
2024-11-20,JetBlue,DFW,LAS,2279,5,50.052851215720864,1
2024-11-21,JetBlue,JFK,SLC,601,7,6.879660218709764,1
2024-11-22,United,JFK,DTW,1846,2,11.692703365828832,0
2024-11-23,Spirit,DEN,BWI,2073,1,10.126108789178868,0
2024-11-24,Frontier,SFO,BWI,1440,3,38.417750348429934,0
2024-11-25,Frontier,JFK,CLT,1748,8,2.855840899170301,1
2024-11-26,Delta,LAX,LAS,643,0,37.94430740821216,0
2024-11-27,Delta,ATL,DTW,850,5,21.72577829197632,1
2024-11-28,Southwest,JFK,MSP,1887,7,52.53934917500945,1
2024-11-29,United,LAX,MSP,1248,1,42.966706831791484,0
2024-11-30,JetBlue,SEA,IAH,1676,3,42.75236691813499,0
2024-12-01,Frontier,SFO,BOS,1831,9,38.165204522298744,1
2024-12-02,Alaska,DFW,BWI,1118,3,53.10648613333502,1
2024-12-03,United,DFW,DTW,2337,3,50.87262221621646,1
2024-12-04,Southwest,ATL,SLC,1389,1,22.571306195701926,0
2024-12-05,Southwest,LAX,IAH,1275,6,43.52155116436451,1
2024-12-06,United,ORD,BOS,956,5,1.4150690231741003,1
2024-12-07,Southwest,DFW,DTW,1280,7,12.410087750964108,1
2024-12-08,United,DFW,MSP,770,8,30.687798535596905,1
2024-12-09,American,SEA,BOS,808,2,45.726453724361164,0
2024-12-10,United,DFW,SLC,2346,3,45.110756439256356,0
2024-12-11,Spirit,DFW,MSP,1511,5,49.86064141404424,1
2024-12-12,United,JFK,LAS,760,2,21.088807303584606,0
2024-12-13,Southwest,DFW,IAH,1009,2,13.071186444281466,0
2024-12-14,Frontier,SEA,SLC,2330,8,48.057079502640256,1
2024-12-15,Spirit,SFO,SLC,1024,2,31.271727687249737,0
2024-12-16,Southwest,DEN,EWR,822,7,3.7843221100331492,1
2024-12-17,Delta,DFW,EWR,2132,2,0.4008452725753031,0
2024-12-18,Delta,PHX,CLT,518,1,55.881064498548994,1
2024-12-19,Frontier,ATL,SLC,1938,2,49.69940756909784,0
2024-12-20,Frontier,ORD,LAS,1619,5,36.15771310385031,1
2024-12-21,Spirit,PHX,BWI,1320,2,57.436684711916854,1
2024-12-22,American,JFK,BWI,1077,2,19.91899084917959,0
2024-12-23,Frontier,MIA,BWI,620,2,41.2434922180231,0
2024-12-24,Delta,SEA,DTW,1731,7,44.19637984285628,1
2024-12-25,United,ATL,BOS,1893,8,54.74302955111089,1
2024-12-26,Southwest,DEN,DTW,1907,4,9.339537388222146,0
2024-12-27,Delta,MIA,FLL,1784,2,28.419498825448795,0
2024-12-28,Delta,PHX,MSP,857,5,52.3165384573044,1
2024-12-29,American,SFO,DTW,1937,0,46.93414568490306,0
2024-12-30,Spirit,ATL,FLL,548,9,34.29397983659057,1
2024-12-31,Spirit,PHX,DTW,557,3,4.71251339096558,0
2025-01-01,JetBlue,PHX,MSP,1925,9,2.957015238477221,1
2025-01-02,American,SFO,EWR,1943,1,36.36728549704153,0
2025-01-03,United,ATL,CLT,604,6,19.72495944700609,1
2025-01-04,Spirit,JFK,BOS,2289,4,17.78283587988397,0
2025-01-05,Southwest,SFO,IAH,1305,0,11.763044734225947,0
2025-01-06,Frontier,JFK,IAH,2341,0,52.30660390035776,1
2025-01-07,American,ORD,BOS,2340,6,40.10983607671287,1
2025-01-08,Frontier,MIA,MSP,1423,5,48.10866978076192,1
2025-01-09,Delta,ORD,LAS,2091,3,43.75217300553099,0
2025-01-10,Southwest,SFO,SLC,660,5,17.125464135287736,1
2025-01-11,Southwest,SEA,BOS,1397,9,55.16975407054026,1
2025-01-12,Delta,ORD,DTW,2037,1,57.928729858435894,1
2025-01-13,American,SEA,EWR,1683,2,39.34714572364718,0
2025-01-14,Delta,SEA,MSP,1023,4,48.856826195319414,0
2025-01-15,Frontier,SFO,CLT,2074,4,30.440481152625594,0
2025-01-16,JetBlue,DEN,BWI,1062,2,33.338069142253545,0
2025-01-17,Southwest,DFW,FLL,1145,3,34.14298809358525,0
2025-01-18,Alaska,PHX,LAS,1538,5,13.589725705706769,1
2025-01-19,Alaska,ORD,SLC,1747,6,46.802982878504324,1
2025-01-20,Frontier,LAX,IAH,2338,7,48.26674126063738,1
2025-01-21,United,ORD,BWI,800,1,28.944930758741016,0
2025-01-22,Spirit,DEN,CLT,1312,8,20.93184465329278,1
2025-01-23,Delta,MIA,BOS,770,8,41.04397417229007,1
2025-01-24,Delta,DEN,BWI,1277,1,32.89645063730825,0
2025-01-25,United,DFW,FLL,1346,6,1.0639981879305815,1
2025-01-26,United,SFO,SLC,1626,0,55.00497503205396,1
2025-01-27,Frontier,PHX,EWR,1378,5,44.588090743571016,1
2025-01-28,Frontier,DEN,EWR,1791,2,29.39696668519715,0
2025-01-29,United,ORD,FLL,984,5,53.170101964848165,1
2025-01-30,Southwest,MIA,MSP,790,2,58.17680171088773,1
2025-01-31,Frontier,DEN,EWR,1271,6,10.838572642988833,1
2025-02-01,JetBlue,LAX,FLL,2173,4,48.12264546308734,0
2025-02-02,Frontier,MIA,SLC,1694,0,48.357347203102165,0
2025-02-03,Delta,SEA,IAH,1682,0,18.88739336788785,0
2025-02-04,Frontier,SFO,LAS,914,6,2.8440863469627264,1
2025-02-05,Southwest,ATL,LAS,1927,8,1.9391735011223088,1
2025-02-06,United,JFK,EWR,867,2,37.17295765490261,0
2025-02-07,Delta,PHX,BWI,828,2,49.859798799483784,0
2025-02-08,Frontier,SFO,FLL,1518,5,5.162878710084873,1
2025-02-09,Southwest,DFW,SLC,960,2,18.91995716492193,0
